t=2025-08-28T14:51:45-0500 lvl=info msg="no configuration paths supplied"
t=2025-08-28T14:51:45-0500 lvl=info msg="using configuration at default config path" path="/Users/andresvelez/Library/Application Support/ngrok/ngrok.yml"
t=2025-08-28T14:51:45-0500 lvl=info msg="open config file" path="/Users/andresvelez/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-08-28T14:51:45-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-08-28T14:51:46-0500 lvl=info msg="update available" obj=updater
t=2025-08-28T14:51:47-0500 lvl=info msg=start pg=/api/tunnels id=0bb435807e39517c
t=2025-08-28T14:51:47-0500 lvl=info msg=end pg=/api/tunnels id=0bb435807e39517c status=200 dur=490.587µs
t=2025-08-28T14:51:47-0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-08-28T14:51:47-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-08-28T14:51:47-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3001 url=https://e59e3b356644.ngrok-free.app
t=2025-08-28T14:52:04-0500 lvl=info msg=start pg=/api/tunnels id=42c529c3fe598bd8
t=2025-08-28T14:52:04-0500 lvl=info msg=end pg=/api/tunnels id=42c529c3fe598bd8 status=200 dur=181.593µs
t=2025-08-28T14:52:18-0500 lvl=info msg=start pg=/api/tunnels id=8bc746c9ace0d064
t=2025-08-28T14:52:18-0500 lvl=info msg=end pg=/api/tunnels id=8bc746c9ace0d064 status=200 dur=149.168µs
t=2025-08-28T14:52:31-0500 lvl=info msg=start pg=/api/tunnels id=a96c926838a1ace8
t=2025-08-28T14:52:31-0500 lvl=info msg=end pg=/api/tunnels id=a96c926838a1ace8 status=200 dur=148.479µs
t=2025-08-28T14:53:31-0500 lvl=info msg="join connections" obj=join id=aa2c2739e092 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:31-0500 lvl=info msg="join connections" obj=join id=8b5879b697d5 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:31-0500 lvl=info msg="join connections" obj=join id=8a320d44004f l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:31-0500 lvl=info msg="join connections" obj=join id=324847ead101 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:31-0500 lvl=info msg="join connections" obj=join id=0c87d7b15a82 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:31-0500 lvl=info msg="join connections" obj=join id=a2fb1b450082 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=4229641fca29 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=046d9b9e5005 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=3c41f2cd597c l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=c9c5d368fb27 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=0d1222403f15 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=da15f2b927d9 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=700a0a60d3f1 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=700b109a61d3 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=aa3ab4dbf50f l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=3601dc198697 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:32-0500 lvl=info msg="join connections" obj=join id=14d8e253e4bf l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52760
t=2025-08-28T14:53:34-0500 lvl=info msg="join connections" obj=join id=77e7d00bc40f l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:34-0500 lvl=info msg="join connections" obj=join id=756291d00658 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:34-0500 lvl=info msg="join connections" obj=join id=b26922565368 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:34-0500 lvl=info msg="join connections" obj=join id=7a690eb7e386 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:34-0500 lvl=info msg="join connections" obj=join id=ceeae48939cf l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:34-0500 lvl=info msg="join connections" obj=join id=b987cd5c1bb6 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52767
t=2025-08-28T14:53:34-0500 lvl=info msg="join connections" obj=join id=2239b280c6ba l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:35-0500 lvl=info msg="join connections" obj=join id=3de1735606e9 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
t=2025-08-28T14:53:35-0500 lvl=info msg="join connections" obj=join id=2bdc6b101913 l=[::1]:3001 r=[2800:e6:4010:b470:3451:a13:8b3b:5e08]:52747
